"model","abs_tave_diff_sep_nov_scaled","abs_tave_diff_midparent_dec_mar_scaled","nov_size_scaled","abs_tave_diff_dec_mar_scaled","abs_tave_diff_midparent_sep_jul_scaled","abs_tave_diff_sep_jul_scaled","abs_ppt_mm_diff_apr_jul_scaled:Estimate","abs_ppt_mm_diff_apr_jul_scaled:Pr(>|z|)","abs_ppt_mm_diff_apr_jul_scaled:Std. Error","abs_ppt_mm_diff_apr_jul_scaled:z value","abs_tave_diff_apr_jul_scaled:Estimate","abs_tave_diff_apr_jul_scaled:Pr(>|z|)","abs_tave_diff_apr_jul_scaled:Std. Error","abs_tave_diff_apr_jul_scaled:z value","fst_wc_scaled:Estimate","fst_wc_scaled:Pr(>|z|)","fst_wc_scaled:Std. Error","fst_wc_scaled:z value","local_foreignlocal:Estimate","local_foreignlocal:Pr(>|z|)","local_foreignlocal:Std. Error","local_foreignlocal:z value","mar_size_scaled:Estimate","mar_size_scaled:Pr(>|z|)","mar_size_scaled:Std. Error","mar_size_scaled:z value","ppt:Estimate","ppt:Pr(>|z|)","ppt:Std. Error","ppt:z value","temp:Estimate","temp:Pr(>|z|)","temp:Std. Error","temp:z value","X.Intercept.:Estimate","X.Intercept.:Pr(>|z|)","X.Intercept.:Std. Error","X.Intercept.:z value"
"marsize.fsttemponly.mod.cond",NA,0.07,0.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.781,NA
"marsize.lf.mod.cond",NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"marsize.lf.mod.cond",NA,NA,0.042,0.095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.761,NA
"marsize.lf.mod.cond",NA,NA,0.748,-0.515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.16,NA,NA,NA
"marsize.lf.mod.cond",NA,NA,17.867,-5.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.776
"marsurv.fst.mod.cond",NA,-0.242,9.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.171
"marsurv.fst.mod.cond",NA,-0.014,0.335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.652,NA,NA,NA
"marsurv.fst.mod.cond",NA,0.06,0.037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.206,NA
"marsurv.fst.mod.cond",NA,0.809,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,NA,NA
"marsurv.fstonly.mod.cond",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,NA,NA
"marsurv.fstonly.mod.cond",NA,NA,0.037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.208,NA
"marsurv.fstonly.mod.cond",NA,NA,0.336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.651,NA,NA,NA
"marsurv.fstonly.mod.cond",NA,NA,9.132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.125
